[Wed Jul 21 17:30:28.700 2010] 0.021 sec [all/1/rel 1 (0,20)] [*] Bisha
[Wed Jul 21 17:30:37.646 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] Hi
[Wed Jul 21 18:34:47.535 2010] 0.001 sec [all/1/rel 0 (0,20)] [*] te
[Wed Jul 21 18:35:53.883 2010] 0.001 sec [all/1/rel 0 (0,20)] [*] b
[Wed Jul 21 18:35:54.214 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bi
[Wed Jul 21 18:35:54.617 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] b
[Wed Jul 21 18:35:54.833 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bi
[Wed Jul 21 18:35:55.128 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bis
[Wed Jul 21 18:35:55.433 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] bish
[Wed Jul 21 18:35:57.154 2010] 0.000 sec [all/1/rel 1 (0,20)] [*] bisha
[Wed Jul 21 18:36:10.147 2010] 0.000 sec [all/1/rel 1 (0,20)] [*] bisha
[Wed Jul 21 18:36:14.086 2010] 0.001 sec [all/1/rel 0 (0,20)] [*] h
[Wed Jul 21 18:36:14.386 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] hi
[Wed Jul 21 18:46:48.728 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Wed Jul 21 18:46:49.003 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] hi
[Wed Jul 21 18:49:31.333 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] h
[Wed Jul 21 18:49:33.992 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] hi
[Wed Jul 21 19:00:00.785 2010] 0.000 sec [scan/2/rel 0 (0,20)] [property_core]
[Wed Jul 21 19:00:47.826 2010] 0.000 sec [scan/2/rel 0 (0,20)] [property_core]
[Wed Jul 21 19:01:37.993 2010] 0.000 sec [scan/2/rel 0 (0,20)] [property_core]
[Wed Jul 21 19:06:19.583 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] H
[Wed Jul 21 19:06:19.851 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] Hi
[Wed Jul 21 19:06:20.723 2010] 0.000 sec [all/1/rel 0 (0,20)] [*] H
[Wed Jul 21 19:06:38.792 2010] 0.000 sec [all/1/rel 3 (0,20)] [*] Hi
